2026-05-06 17:44:33.454 [main] INFO  c.m.editor.MarkdownEditorApplication - Starting MarkdownEditorApplication using Java 17.0.12 on DESKTOP-THE2ARB with PID 34744 (D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend\target\classes started by Murphy in D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend)
2026-05-06 17:44:33.459 [main] INFO  c.m.editor.MarkdownEditorApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-06 17:44:35.956 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-05-06 17:44:35.959 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-06 17:44:35.960 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2026-05-06 17:44:36.092 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-06 17:44:38.495 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-05-06 17:44:39.489 [main] INFO  c.m.editor.MarkdownEditorApplication - Started MarkdownEditorApplication in 6.707 seconds (JVM running for 7.259)
2026-05-06 17:45:38.862 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-06 17:45:38.930 [http-nio-8081-exec-1] ERROR c.markdown.editor.security.JwtUtils - JWT token is expired: JWT expired at 2026-05-05T18:07:00Z. Current time: 2026-05-06T17:45:38Z, a difference of 85118930 milliseconds.  Allowed clock skew: 0 milliseconds.
2026-05-06 17:45:54.989 [http-nio-8081-exec-6] INFO  c.m.editor.controller.AuthController - Login attempt for user: admin
2026-05-06 17:45:56.521 [http-nio-8081-exec-8] INFO  c.m.e.controller.DocumentController - 用户[admin]获取所有文档列表，页码: 0, 每页大小: 10
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 获取到121篇文档
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 238, 浏览量: 47
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 180, 浏览量: 110
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 237, 浏览量: 14
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 236, 浏览量: 5
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 234, 浏览量: 1
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 233, 浏览量: 2
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 182, 浏览量: 108
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 181, 浏览量: 77
2026-05-06 17:45:56.654 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 179, 浏览量: 68
2026-05-06 17:45:56.655 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - 文档ID: 178, 浏览量: 85
