2026-04-25 08:43:28.741 [main] INFO  c.m.editor.MarkdownEditorApplication - Starting MarkdownEditorApplication using Java 17.0.12 on DESKTOP-THE2ARB with PID 11056 (D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend\target\classes started by Murphy in D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend)
2026-04-25 08:43:28.749 [main] INFO  c.m.editor.MarkdownEditorApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-25 08:43:30.128 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-04-25 08:43:30.130 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-25 08:43:30.131 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2026-04-25 08:43:30.254 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-25 08:43:31.666 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-04-25 08:43:32.204 [main] INFO  c.m.editor.MarkdownEditorApplication - Started MarkdownEditorApplication in 3.859 seconds (JVM running for 4.542)
2026-04-25 08:44:41.815 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-25 08:44:42.395 [http-nio-8081-exec-2] INFO  c.m.e.controller.DocumentController - 用户[aaa]获取所有文档列表，页码: 0, 每页大小: 10
2026-04-25 08:44:42.583 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=13, username='aaa', nickname='aaa', original=1, likes=0, collections=0, comments=0, blogRank=6, followers=0, following=0}
2026-04-25 08:44:42.583 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 13
2026-04-25 08:44:42.583 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: aaa
2026-04-25 08:44:42.583 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: aaa
2026-04-25 08:44:42.584 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 1
2026-04-25 08:44:42.584 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 0
2026-04-25 08:44:42.584 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 0
2026-04-25 08:44:42.584 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 0
