2026-04-27 09:21:55.342 [main] INFO  c.m.editor.MarkdownEditorApplication - Starting MarkdownEditorApplication using Java 17.0.12 on DESKTOP-THE2ARB with PID 34236 (D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend\target\classes started by Murphy in D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend)
2026-04-27 09:21:55.344 [main] INFO  c.m.editor.MarkdownEditorApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-27 09:21:56.430 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-04-27 09:21:56.431 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-27 09:21:56.431 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2026-04-27 09:21:56.520 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-27 09:21:57.697 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-04-27 09:21:58.094 [main] INFO  c.m.editor.MarkdownEditorApplication - Started MarkdownEditorApplication in 3.065 seconds (JVM running for 3.454)
2026-04-27 09:22:53.374 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-27 09:22:54.491 [http-nio-8081-exec-2] INFO  c.m.e.controller.DocumentController - 用户[admin]获取所有文档列表，页码: 0, 每页大小: 10
2026-04-27 09:22:54.589 [http-nio-8081-exec-2] INFO  c.m.e.controller.DocumentController - 用户[admin]获取所有文档列表成功，共139个文档
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=4, username='admin', nickname='管理员', avatar='https://api.dicebear.com/7.x/pixel-art/svg?seed=4', original=123, likes=27, collections=26, comments=35, blogRank=1, followers=2, following=3, continuousDays=0}
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 4
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: admin
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: 管理员
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 123
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 27
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 26
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 35
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 1
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 2
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 3
2026-04-27 09:22:54.694 [http-nio-8081-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - continuousDays: 0
2026-04-27 09:22:58.240 [http-nio-8081-exec-8] INFO  c.m.e.controller.DocumentController - 用户[admin]获取自己的文档列表，页码: 0, 每页大小: 10
2026-04-27 09:22:58.269 [http-nio-8081-exec-8] INFO  c.m.e.controller.DocumentController - 用户[admin]获取自己的文档列表成功，共123个文档
2026-04-27 09:22:58.377 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=4, username='admin', nickname='管理员', avatar='https://api.dicebear.com/7.x/pixel-art/svg?seed=4', original=123, likes=27, collections=26, comments=35, blogRank=1, followers=2, following=3, continuousDays=0}
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 4
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: admin
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: 管理员
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 123
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 27
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 26
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 35
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 1
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 2
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 3
2026-04-27 09:22:58.378 [http-nio-8081-exec-10] INFO  c.m.e.s.impl.StatisticsServiceImpl - continuousDays: 0
2026-04-27 09:23:02.884 [http-nio-8081-exec-5] INFO  c.m.e.controller.DocumentController - 用户[admin]获取文档，文档ID: 181
2026-04-27 09:23:02.899 [http-nio-8081-exec-5] INFO  c.m.e.controller.DocumentController - 用户[admin]获取文档成功，文档ID: 181
2026-04-27 09:23:02.953 [http-nio-8081-exec-1] INFO  c.m.editor.controller.TagController - 用户[admin]获取分类[work]的标签列表
2026-04-27 09:23:02.971 [http-nio-8081-exec-1] INFO  c.m.editor.controller.TagController - 用户[admin]获取分类[work]的标签列表成功，找到0个标签
2026-04-27 09:23:04.640 [http-nio-8081-exec-2] INFO  c.m.e.controller.DocumentController - 用户[admin]获取自己的文档列表，页码: 0, 每页大小: 10
2026-04-27 09:23:04.662 [http-nio-8081-exec-2] INFO  c.m.e.controller.DocumentController - 用户[admin]获取自己的文档列表成功，共123个文档
2026-04-27 09:23:04.772 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=4, username='admin', nickname='管理员', avatar='https://api.dicebear.com/7.x/pixel-art/svg?seed=4', original=123, likes=27, collections=26, comments=35, blogRank=1, followers=2, following=3, continuousDays=0}
2026-04-27 09:23:04.772 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 4
2026-04-27 09:23:04.772 [http-nio-8081-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: admin
